Timestamp,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Usage(%)
2024-06-22 16:37:13,0.00,0.03,0,0
2024-06-22 16:37:14,0.00,0.12,0,1.00
2024-06-22 16:37:15,0.00,0.81,61,8.00
2024-06-22 16:37:16,0.00,0.81,69,8.00
2024-06-22 16:37:17,0.00,0.81,94,8.00
2024-06-22 16:37:18,0.00,0.81,95,8.00
2024-06-22 16:37:19,0.00,0.82,96,8.00
2024-06-22 16:37:20,0.00,0.82,95,8.00
2024-06-22 16:37:21,0.00,0.82,96,8.00
2024-06-22 16:37:22,0.00,0.82,96,8.00
2024-06-22 16:37:23,0.00,0.82,96,8.00
2024-06-22 16:37:24,0.00,0.82,96,8.00
2024-06-22 16:37:25,0.01,0.82,96,8.00
2024-06-22 16:37:26,0.01,0.82,96,8.00
2024-06-22 16:37:27,0.01,0.82,95,8.00
2024-06-22 16:37:28,0.01,0.82,94,8.00
2024-06-22 16:37:29,0.01,0.82,95,8.00
2024-06-22 16:37:31,0.01,0.82,95,8.00
2024-06-22 16:37:32,0.01,0.82,96,8.00
2024-06-22 16:37:33,0.01,0.82,96,8.00
2024-06-22 16:37:34,0.01,0.82,95,8.00
2024-06-22 16:37:35,0.01,0.82,95,8.00
2024-06-22 16:37:36,0.01,0.82,95,8.00
2024-06-22 16:37:37,0.01,0.82,95,8.00
2024-06-22 16:37:38,0.01,0.82,97,8.00
2024-06-22 16:37:39,0.01,0.82,96,8.00
2024-06-22 16:37:40,0.01,0.82,95,8.00
2024-06-22 16:37:41,0.01,0.82,95,8.00
2024-06-22 16:37:42,0.01,0.82,96,8.00
2024-06-22 16:37:43,0.01,0.82,95,8.00
2024-06-22 16:37:44,0.01,0.82,95,8.00
2024-06-22 16:37:45,0.01,0.82,96,8.00
2024-06-22 16:37:46,0.02,0.82,95,8.00
2024-06-22 16:37:47,0.02,0.82,96,8.00
2024-06-22 16:37:48,0.02,0.82,95,8.00
